Timestamp,Type,Input
2026-01-01 11:09:00,PROFANITY_VIOLENCE,stupid
2026-01-01 11:09:20,PROFANITY_VIOLENCE,stupid
2026-01-01 11:09:20,PII_ATTEMPT,520-551-7406
2026-01-01 11:09:33,PROFANITY_VIOLENCE,stupid
2026-01-01 11:09:33,PII_ATTEMPT,520-551-7406
2026-01-01 11:09:38,PROFANITY_VIOLENCE,stupid
2026-01-01 11:09:38,PII_ATTEMPT,520-551-7406
2026-01-01 11:09:38,COPYRIGHT_ATTEMPT,Batman
2026-01-01 11:10:18,PROFANITY_VIOLENCE,stupid
2026-01-01 11:10:18,PII_ATTEMPT,520-551-7406
2026-01-01 11:10:18,COPYRIGHT_ATTEMPT,Batman
2026-01-01 11:10:42,PROFANITY_VIOLENCE,stupid
2026-01-01 11:10:42,PII_ATTEMPT,520-551-7406
2026-01-01 11:10:42,COPYRIGHT_ATTEMPT,Batman
2026-01-01 11:10:47,PROFANITY_VIOLENCE,stupid
2026-01-01 11:10:47,PII_ATTEMPT,520-551-7406
2026-01-01 11:10:47,COPYRIGHT_ATTEMPT,Batman
2026-01-01 11:11:01,PROFANITY_VIOLENCE,stupid
2026-01-01 11:11:01,PII_ATTEMPT,520-551-7406
2026-01-01 11:11:01,COPYRIGHT_ATTEMPT,Batman
2026-01-01 11:11:20,PROFANITY_VIOLENCE,stupid
2026-01-01 11:11:20,PII_ATTEMPT,520-551-7406
2026-01-01 11:11:20,COPYRIGHT_ATTEMPT,Batman
2026-01-01 11:11:22,PROFANITY_VIOLENCE,stupid
2026-01-01 11:11:22,PII_ATTEMPT,520-551-7406
2026-01-01 11:11:22,COPYRIGHT_ATTEMPT,Batman
2026-01-01 11:12:15,PROFANITY_VIOLENCE,STUPID
2026-01-01 11:14:51,PROFANITY_VIOLENCE,WHY ARE YOU SO STUPID
2026-01-01 11:27:45,PROFANITY_VIOLENCE,why are so so stupid
2026-01-01 11:44:25,PROFANITY_VIOLENCE,hate
2026-01-01 11:45:05,PROFANITY_VIOLENCE,hate
2026-01-01 12:03:11,PROFANITY_VIOLENCE,you are a bitch
